epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5752,1.32956,1.64426,1.87366,1.20035,0.47582,0.53673,0.53766,0.3269,0.43661,0.50287,0.4939,0.25554,1.23975,1.38165,2.16659,1.10001,0.000411877,0.000411877,0.000411877
2,214.409,1.18467,1.16204,1.13886,1.05148,0.59321,0.5309,0.53607,0.3388,0.52805,0.47863,0.47317,0.23355,1.25428,1.19172,1.74194,1.15224,0.000812139,0.000812139,0.000812139
3,358.606,1.19663,1.18757,1.07535,1.06078,0.46501,0.52235,0.53549,0.34527,0.44203,0.49642,0.50103,0.24461,1.19571,1.19503,1.80284,1.15069,0.0011959,0.0011959,0.0011959
4,438.278,1.1654,1.12676,0.98648,1.05248,0.63174,0.6088,0.6278,0.40713,0.59784,0.58532,0.58527,0.30537,1.13502,1.17374,1.43047,1.06922,0.00117575,0.00117575,0.00117575
5,526.188,1.06548,1.01128,0.88708,1.01178,0.64064,0.64602,0.68129,0.43761,0.60556,0.51146,0.56019,0.30351,1.0821,1.08203,1.03427,1.02749,0.001151,0.001151,0.001151
6,628.958,1.03614,1.02288,0.85445,0.99774,0.62837,0.65363,0.65129,0.42785,0.57141,0.59339,0.57936,0.31724,1.12599,1.02886,1.16872,1.07081,0.00112625,0.00112625,0.00112625
7,733.078,1.00474,0.94788,0.80854,0.98748,0.72295,0.69034,0.70917,0.47835,0.62914,0.65792,0.65759,0.36555,1.00973,0.87701,0.83913,1.00238,0.0011015,0.0011015,0.0011015
8,814.946,0.9613,0.93407,0.74256,0.96702,0.74431,0.72276,0.75369,0.49678,0.65798,0.6558,0.64921,0.37675,0.99855,0.86485,0.8887,0.9713,0.00107675,0.00107675,0.00107675
9,901.616,0.94507,0.95502,0.72403,0.95885,0.76208,0.70198,0.74886,0.5162,0.71489,0.61483,0.66702,0.39202,0.95196,0.94577,0.85118,0.9778,0.001052,0.001052,0.001052
10,1003.45,0.9052,0.88506,0.69019,0.95166,0.78213,0.70855,0.75707,0.51209,0.7671,0.67011,0.70572,0.41157,0.97502,0.88234,0.85352,0.97377,0.00102725,0.00102725,0.00102725
11,1103.37,0.87981,0.85256,0.66762,0.93666,0.7746,0.76165,0.78752,0.53602,0.67619,0.67495,0.65758,0.38995,0.94736,0.89097,0.74088,0.9551,0.0010025,0.0010025,0.0010025
12,1179.82,0.86951,0.83749,0.65336,0.93436,0.76816,0.74477,0.77092,0.52748,0.75285,0.66494,0.69952,0.41566,0.97813,0.89317,0.7639,0.98057,0.00097775,0.00097775,0.00097775
13,1272.19,0.83535,0.82132,0.63108,0.92466,0.77222,0.72157,0.78279,0.54101,0.75085,0.66698,0.71179,0.42659,0.95983,0.979,0.71308,0.9715,0.000953,0.000953,0.000953
14,1393.38,0.83043,0.82819,0.61494,0.92027,0.80189,0.77709,0.82264,0.58161,0.73608,0.68025,0.7032,0.41081,0.91444,0.86274,0.71415,0.96234,0.00092825,0.00092825,0.00092825
15,1493.57,0.82583,0.79269,0.60331,0.91489,0.79997,0.75371,0.80522,0.547,0.72252,0.69133,0.70363,0.43905,0.91647,0.83122,0.70634,0.95542,0.0009035,0.0009035,0.0009035
16,1579.83,0.80439,0.80424,0.5948,0.91288,0.79673,0.71062,0.78867,0.55263,0.72039,0.68129,0.70443,0.41745,0.91165,0.8496,0.75806,0.96314,0.00087875,0.00087875,0.00087875
17,1657.46,0.79853,0.79461,0.57555,0.90783,0.80893,0.73444,0.78643,0.54695,0.79346,0.71416,0.75967,0.46062,0.91903,0.79446,0.70275,0.9599,0.000854,0.000854,0.000854
18,1750.39,0.77812,0.74759,0.54326,0.8978,0.79723,0.75251,0.79869,0.56156,0.77545,0.7191,0.75593,0.4578,0.90055,0.7922,0.73185,0.94086,0.00082925,0.00082925,0.00082925
19,1854.62,0.75526,0.74085,0.54173,0.89496,0.84619,0.76453,0.84577,0.59814,0.75731,0.69872,0.72622,0.43739,0.83905,0.77139,0.5852,0.93729,0.0008045,0.0008045,0.0008045
20,1966.57,0.75169,0.74194,0.53036,0.89227,0.82343,0.77774,0.84023,0.59569,0.73558,0.71074,0.7426,0.45419,0.839,0.76321,0.62819,0.93651,0.00077975,0.00077975,0.00077975
