epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2661,1.44407,2.60006,1.25333,0.89436,0.49659,0.60012,0.35025,1.38972,1.28679,1.11892,0.000415564,0.000415564,0.000415564
2,117.525,1.42212,1.56128,1.24392,0.92537,0.54605,0.63612,0.3758,1.41618,1.07973,1.12042,0.000815753,0.000815753,0.000815753
3,169.453,1.39869,1.28835,1.25107,0.90432,0.52555,0.67486,0.39818,1.4313,1.03398,1.12463,0.00119944,0.00119944,0.00119944
4,220.143,1.38977,1.17675,1.23828,0.9385,0.6022,0.71269,0.41286,1.37293,0.85968,1.09398,0.00117575,0.00117575,0.00117575
5,271.085,1.3459,1.07317,1.2111,0.76872,0.70448,0.73667,0.44412,1.32936,0.83229,1.08254,0.001151,0.001151,0.001151
6,321.825,1.31884,1.02251,1.20334,0.90717,0.68182,0.75843,0.43784,1.39161,0.84089,1.0999,0.00112625,0.00112625,0.00112625
7,372.686,1.30903,0.98386,1.17964,0.92573,0.65194,0.74359,0.45451,1.32474,0.79532,1.06537,0.0011015,0.0011015,0.0011015
8,423.424,1.27657,0.94061,1.16785,0.8363,0.67858,0.7509,0.44522,1.33655,0.75429,1.07305,0.00107675,0.00107675,0.00107675
9,474.596,1.25605,0.90483,1.15962,0.86849,0.73712,0.79241,0.47817,1.28441,0.75694,1.0504,0.001052,0.001052,0.001052
10,527.155,1.27306,0.89648,1.16777,0.89962,0.71842,0.77689,0.4552,1.32616,0.74941,1.07413,0.00102725,0.00102725,0.00102725
11,577.859,1.2373,0.84601,1.1423,0.84413,0.75831,0.80237,0.477,1.27972,0.73506,1.06385,0.0010025,0.0010025,0.0010025
12,629.113,1.22507,0.84569,1.13843,0.8513,0.70487,0.79618,0.48245,1.23274,0.72572,1.03164,0.00097775,0.00097775,0.00097775
13,680.576,1.22165,0.82494,1.1359,0.84328,0.72621,0.80193,0.50005,1.23767,0.66214,1.04315,0.000953,0.000953,0.000953
14,732.818,1.21294,0.80694,1.12988,0.86356,0.75371,0.80372,0.49185,1.23335,0.66604,1.02282,0.00092825,0.00092825,0.00092825
15,784.141,1.19178,0.80082,1.12452,0.84265,0.76276,0.79072,0.49226,1.24406,0.67073,1.04403,0.0009035,0.0009035,0.0009035
16,834.985,1.19322,0.79111,1.12289,0.83674,0.73178,0.78748,0.47929,1.24319,0.66487,1.02351,0.00087875,0.00087875,0.00087875
17,886.54,1.17493,0.7734,1.11611,0.77758,0.77831,0.79458,0.48782,1.23416,0.66074,1.02387,0.000854,0.000854,0.000854
18,937.389,1.17885,0.7719,1.11799,0.95779,0.7333,0.81499,0.50978,1.20998,0.63722,1.01641,0.00082925,0.00082925,0.00082925
19,988.193,1.15933,0.7395,1.10259,0.87199,0.74592,0.81412,0.4897,1.2301,0.66316,1.02655,0.0008045,0.0008045,0.0008045
20,1040.27,1.14209,0.73962,1.09991,0.84587,0.75509,0.80992,0.50188,1.19329,0.65112,1.0114,0.00077975,0.00077975,0.00077975
21,1094.03,1.15526,0.73456,1.09887,0.79286,0.74145,0.7886,0.48704,1.22677,0.64509,1.02799,0.000755,0.000755,0.000755
22,1145.05,1.13637,0.72713,1.09885,0.83916,0.76775,0.813,0.51396,1.1862,0.61813,1.01599,0.00073025,0.00073025,0.00073025
23,1195.81,1.13366,0.70887,1.09184,0.82584,0.81747,0.83622,0.52432,1.17154,0.61571,1.00872,0.0007055,0.0007055,0.0007055
24,1246.29,1.12042,0.71121,1.08714,0.87604,0.7926,0.84781,0.51894,1.19145,0.6131,1.01529,0.00068075,0.00068075,0.00068075
25,1297.24,1.11538,0.69063,1.08462,0.85465,0.7497,0.79966,0.49958,1.20819,0.61783,1.02379,0.000656,0.000656,0.000656
26,1348.01,1.10626,0.68152,1.07965,0.90107,0.79219,0.84536,0.53147,1.19723,0.60526,1.01922,0.00063125,0.00063125,0.00063125
27,1400.44,1.10636,0.67353,1.07794,0.84551,0.77242,0.80575,0.51134,1.17733,0.59743,1.00051,0.0006065,0.0006065,0.0006065
28,1453.56,1.08705,0.66746,1.06873,0.82721,0.785,0.80621,0.51813,1.16164,0.5888,0.99831,0.00058175,0.00058175,0.00058175
29,1506.07,1.09062,0.66927,1.07187,0.84095,0.74374,0.80736,0.51185,1.18577,0.58886,1.02209,0.000557,0.000557,0.000557
30,1558.76,1.08737,0.65866,1.07162,0.83739,0.76065,0.78744,0.50162,1.17238,0.59362,1.00036,0.00053225,0.00053225,0.00053225
31,1611.47,1.08587,0.65805,1.06678,0.86096,0.787,0.8288,0.52872,1.1432,0.57866,0.99749,0.0005075,0.0005075,0.0005075
32,1664.22,1.08324,0.64478,1.06943,0.85169,0.78182,0.81161,0.52143,1.16236,0.57495,1.00784,0.00048275,0.00048275,0.00048275
33,1716.82,1.0683,0.63839,1.05939,0.85579,0.75906,0.79491,0.52206,1.1571,0.57006,0.99908,0.000458,0.000458,0.000458
34,1769.18,1.06257,0.62456,1.06164,0.84136,0.79112,0.81304,0.52799,1.15028,0.56231,0.99396,0.00043325,0.00043325,0.00043325
35,1821.82,1.05482,0.61669,1.05089,0.83626,0.80437,0.82911,0.53828,1.13584,0.56265,0.99159,0.0004085,0.0004085,0.0004085
36,1874.5,1.04978,0.62082,1.05146,0.90176,0.78479,0.83333,0.52793,1.14009,0.55581,0.99649,0.00038375,0.00038375,0.00038375
37,1927.88,1.03078,0.60179,1.04778,0.8494,0.77749,0.81826,0.53711,1.13975,0.55894,0.99316,0.000359,0.000359,0.000359
38,1980.59,1.03459,0.59528,1.04205,0.93251,0.75433,0.83147,0.53942,1.13692,0.55332,0.98877,0.00033425,0.00033425,0.00033425
39,2031.34,1.03539,0.59842,1.0452,0.89637,0.81624,0.86277,0.54411,1.12768,0.55539,0.99024,0.0003095,0.0003095,0.0003095
40,2082.1,1.01506,0.58725,1.04275,0.84455,0.80797,0.83542,0.5418,1.12513,0.54869,0.98401,0.00028475,0.00028475,0.00028475
41,2158.98,1.00529,0.51025,1.02851,0.85568,0.77711,0.81724,0.53484,1.13022,0.5503,0.98211,0.00026,0.00026,0.00026
42,2209.62,0.99806,0.5115,1.02909,0.90005,0.81781,0.8584,0.54107,1.13212,0.5458,0.9884,0.00023525,0.00023525,0.00023525
43,2262.59,0.98218,0.4896,1.01775,0.89335,0.81494,0.85831,0.5448,1.13693,0.55158,0.99005,0.0002105,0.0002105,0.0002105
44,2315.53,0.97482,0.4874,1.01608,0.87542,0.80828,0.84814,0.5417,1.12684,0.53807,0.98868,0.00018575,0.00018575,0.00018575
45,2368.35,0.96913,0.47333,1.00838,0.87434,0.81431,0.85123,0.54025,1.12226,0.53189,0.98473,0.000161,0.000161,0.000161
46,2421.89,0.95497,0.47331,1.00189,0.90024,0.81701,0.86577,0.55279,1.10675,0.52306,0.97989,0.00013625,0.00013625,0.00013625
47,2475.51,0.94828,0.46277,1.00178,0.88966,0.82386,0.86732,0.54948,1.10957,0.52624,0.98364,0.0001115,0.0001115,0.0001115
48,2527.71,0.94053,0.46075,0.99761,0.9079,0.82585,0.86661,0.55193,1.10846,0.5242,0.98111,8.675e-05,8.675e-05,8.675e-05
